,OMIMID,OMOPID
371,300494,4053178
372,300494,4053178
373,300494,4053178
374,300494,36979027
375,300494,4053178
376,164230,440374
377,164230,440374
378,164230,45882050
379,164230,440374
380,164230,440374
381,164230,440374
382,164230,440374
383,164230,440374
384,164230,440374
385,181500,435783
386,181500,36919158
387,181500,45877385
388,181500,435783
389,181500,4100365
390,181500,4008566
391,181500,435783
392,181500,4100365
393,181500,435783
394,181500,435783
395,181500,4008566
396,181500,435783
397,181500,4100365
398,181500,435783
399,178600,44782560
400,178600,37282749
401,178600,44782560
402,178600,44783618
403,178600,4119611
404,178600,4013643
405,178600,37282750
406,178600,37282742
407,178600,44783618
408,161900,4125967
409,161900,319826
410,161900,45766198
411,161900,193253
412,161900,4125967
413,607681,4274575
414,600131,4274575
415,607631,4046210
416,607631,4274575
417,604827,4274575
418,604827,374924
419,604827,4267274
420,604827,42890508
421,604827,4267274
422,608105,0
423,208700,0
424,607682,4274575
425,607682,4267274
426,607682,374924
427,607682,4267274
428,607682,42890508
429,300491,440508
430,217200,0
431,607628,4267274
432,607628,374924
433,607628,4267274
434,607628,42890508
435,607628,4274575
436,267740,0
437,217200,0
438,247640,4030260
439,247640,134305
440,247640,4030260
441,247640,134305
442,247640,134305
443,247640,35104339
444,247640,134305
445,247640,134305
446,102500,4270610
447,102500,4270610
448,102500,75924
449,102500,78308
450,102500,4099324
451,102500,36468006
452,102500,4270610
453,102500,4099324
454,102500,4270610
455,215470,37399488
456,215470,4263879
457,601518,200962
458,601518,4129902
459,601518,4163261
460,601518,37395835
461,601518,200962
462,601518,4129902
463,601518,4163261
464,601518,4129902
465,601518,36617720
466,601518,200962
467,601518,36603392
468,601518,45884513
469,601518,4129902
470,311360,4214899
471,311360,4028935
472,311360,4279913
473,311360,4005275
474,311360,436803
475,311360,4028935
476,311360,35532009
477,311360,436803
478,311360,35305475
479,311360,4028935
480,311360,193739
481,311360,4111488
482,311360,23164
483,311360,436803
484,176807,4161028
485,176807,4129902
486,176807,200962
487,176807,36603392
488,176807,45884513
489,176807,200962
490,176807,4163261
491,176807,4163261
492,176807,200962
493,176807,37395835
494,176807,4129902
495,176807,4161028
496,176807,36673083
497,176807,4129902
498,176807,36617720
499,176807,4129902
500,114480,4112853
501,114480,4112853
502,114480,36617162
503,114480,45884515
504,114480,4116071
505,114480,81251
506,114480,81250
507,114480,4110861
508,114480,4188544
509,114480,4155292
510,114480,4160780
511,114480,36617185
512,114480,81251
513,114480,4112853
514,114480,4187848
515,114480,4110861
516,114480,4092511
517,114480,4112853
518,114480,4187849
519,114480,4112853
520,114480,72576
521,114480,36670902
522,114480,4116071
523,114480,4112853
524,114480,81251
525,114480,133711
526,114480,4092513
527,114480,81251
528,192000,201388
529,192000,201388
530,192000,35306184
531,192000,201388
532,231200,4121133
533,231200,35125720
534,231200,437241
535,231200,4121133
536,137750,441284
537,137750,441284
538,137750,436975
539,137750,436975
540,137750,436975
541,137750,433767
542,137750,35328868
543,137750,441284
544,137750,441284
545,137750,433767
546,137750,436975
547,137750,35606991
548,155100,440508
549,155100,37016797
550,155100,312358
551,155100,4030517
552,155100,4121264
553,155100,437242
554,155100,441264
555,161900,4125967
556,161900,319826
557,161900,45766198
558,161900,193253
559,161900,4125967
560,273800,4139942
561,273800,4139942
562,273800,35125719
563,273800,4139942
564,273800,437241
565,181500,435783
566,181500,36919158
567,181500,45877385
568,181500,435783
569,181500,4100365
570,181500,4008566
571,181500,435783
572,181500,4100365
573,181500,435783
574,181500,435783
575,181500,4008566
576,181500,435783
577,181500,4100365
578,181500,435783
579,145500,320128
580,145500,320128
581,145500,37622528
582,145500,320128
583,145500,320128
584,145500,320128
585,145500,320128
586,145500,320128
587,145500,320128
588,145500,320128
589,145500,320128
590,608622,0
591,161900,4125967
592,161900,319826
593,161900,45766198
594,161900,193253
595,161900,4125967
596,225755,4079975
597,608033,37109611
598,260970,0
599,225740,0
600,217200,0
601,215140,4308194
602,215140,4150458
603,215140,4308194
604,215140,4308194
605,210050,0
606,256370,195314
607,256370,195314
608,256370,195314
609,256370,37019292
610,256370,45878999
611,256370,195314
612,256370,195314
613,256370,4058840
614,256370,195314
615,256370,4058842
616,256370,37397492
617,256370,195314
618,256370,195314
619,600351,0
620,203700,4068119
621,203700,35305519
622,203700,4213310
623,203700,376970
624,203700,379006
625,203700,4068119
626,608622,0
627,208300,4204072
628,208300,4204072
629,208300,35227810
630,208300,4204072
631,208300,435835
632,208300,435835
633,161900,4125967
634,161900,319826
635,161900,45766198
636,161900,193253
637,161900,4125967
638,608622,0
639,161900,4125967
640,161900,319826
641,161900,45766198
642,161900,193253
643,161900,4125967
644,143465,4049391
645,143465,438409
646,143465,438409
647,143465,4253962
648,143465,440086
649,143465,438409
650,143465,438409
651,143465,36978839
652,143465,438409
653,143465,438409
654,143465,438409
655,276300,788469
656,276300,4266973
657,276300,4180790
658,276300,4266973
659,137800,4019491
660,137800,4253951
661,137800,4211797
662,137800,40571981
663,137800,40484128
664,137800,4250500
665,137800,443588
666,137800,40484128
667,137800,36617388
668,137800,4272187
669,137800,4253951
670,137800,4180908
671,137800,4253951
672,137800,40571980
673,137800,36617389
674,137800,36603360
675,137800,78987
676,137800,36617416
677,137800,36671733
678,137800,4150348
679,137800,40571981
680,137800,4019491
681,137800,40482745
682,137800,36617415
683,137800,36617410
684,137800,4298902
685,137800,4253951
686,137800,4298902
687,137800,4211797
688,137800,40571981
689,109543,4180093
690,109543,138379
691,109543,35124050
692,109543,4082311
693,109543,4082311
694,109543,4119130
695,109543,35102408
696,109543,4082311
697,109543,4082311
698,109543,138379
699,109543,138379
700,109543,35104364
701,109543,4180093
702,267730,436920
703,267730,35124669
704,267730,436920
705,267730,4099191
706,267730,40488812
707,267730,4028709
708,267730,436920
709,267730,4038838
710,267730,4099191
711,267730,4099191
712,267730,436920
713,267730,436920
714,267730,4099191
715,267730,436920
716,267730,436920
717,267730,4082488
718,267730,436920
719,247640,4030260
720,247640,134305
721,247640,4030260
722,247640,134305
723,247640,134305
724,247640,35104339
725,247640,134305
726,247640,134305
727,236000,4263909
728,236000,4038835
729,236000,4031667
730,236000,4251036
731,236000,4038839
732,236000,35104405
733,236000,4038840
734,236000,4038839
735,236000,4041797
736,236000,4322613
737,236000,4038835
738,236000,4038835
739,236000,4041797
740,236000,4038839
741,236000,4038835
742,236000,4041797
743,236000,4038840
744,236000,4038835
745,236000,4038835
746,236000,4038839
747,236000,4038835
748,236000,4041797
749,236000,4038839
750,236000,4038835
751,236000,4041798
752,236000,4322613
753,236000,4038841
754,236000,4038840
755,236000,4038835
756,236000,4038839
757,236000,4038835
758,236000,4038835
759,236000,4038842
760,236000,4038843
761,236000,4038840
762,236000,4038835
763,236000,4038839
764,254500,437233
765,254500,4210177
766,254500,45885342
767,254500,437233
768,254500,4030362
769,254500,4047607
770,254500,4094042
771,254500,4173311
772,254500,432595
773,254500,437233
774,254500,432595
775,254500,432595
776,254500,437233
777,254500,437233
778,254500,437233
779,254500,437233
780,254500,4232491
781,254500,437233
782,254500,4047607
783,254500,36009864
784,540000,4219010
785,540000,35328708
786,540000,4219010
787,540000,81539
788,540000,4059379
789,540000,4219010
790,125310,4190891
791,125310,35306077
792,125310,4286030
793,125310,4190891
794,125310,321887
795,601367,36774437
796,601367,4310996
797,601367,381316
798,601367,381591
799,601367,4310996
800,601367,381591
801,601367,372924
802,601367,381316
803,601367,381591
804,601367,381591
805,601367,36718045
806,601367,381591
807,601367,36718001
808,601367,372924
809,601367,443454
810,601367,443454
811,601367,381316
812,601367,381316
813,601367,381316
